country_iso,clusters_3,clusters_4,clusters_5,clusters_6,clusters_7,clusters_8
ABW,1,1,2,3,6,5
AFG,2,0,3,4,4,3
AGO,2,0,3,4,4,3
ALB,1,1,0,2,6,5
AND,2,0,3,0,0,0
ANT,1,1,0,2,6,5
ARB,1,1,0,2,6,5
ARE,1,1,2,3,3,2
ARG,1,1,2,3,3,2
ARM,1,1,0,2,6,5
ASM,1,1,0,2,6,5
ATG,1,1,2,3,6,5
AUS,0,3,2,3,3,2
AUT,0,3,2,3,3,2
AZE,1,1,0,2,6,5
BDI,2,1,0,2,6,5
BEL,0,3,2,3,3,2
BEN,2,0,3,4,4,3
BFA,2,0,3,4,4,3
BGD,1,1,0,0,0,0
BGR,1,1,2,3,3,2
BHR,1,1,0,2,6,5
BHS,1,1,0,2,6,5
BIH,2,0,3,4,4,3
BLR,1,1,2,3,3,2
BLZ,2,0,3,4,4,3
BMU,0,3,2,3,3,2
BOL,1,1,0,0,0,0
BRA,1,1,2,3,6,5
BRB,1,1,2,3,6,5
BRN,1,1,0,2,6,5
BTN,2,0,3,4,4,3
BWA,2,1,0,2,6,5
CAF,2,0,3,4,4,3
CAN,0,3,2,3,3,2
CEB,1,1,2,3,3,2
CHE,0,3,4,1,1,4
CHI,1,1,0,2,6,5
CHL,1,1,2,3,3,2
CHN,1,1,0,2,6,5
CIV,2,0,3,4,4,3
CMR,2,0,3,4,4,3
COD,2,0,3,4,4,3
COG,2,0,3,4,4,3
COL,1,1,0,0,0,0
COM,1,1,0,0,0,0
CPV,1,1,0,0,0,0
CRI,1,1,0,0,0,0
CSS,1,1,0,2,6,5
CUB,1,1,0,2,6,5
CUW,0,3,2,3,3,2
CYM,0,3,1,5,5,1
CYP,0,3,4,1,1,4
CZE,1,3,2,3,3,2
DEU,0,3,2,3,3,2
DJI,2,0,3,0,0,0
DMA,1,1,0,2,6,5
DNK,0,3,4,1,1,4
DOM,1,1,0,0,0,0
DZA,1,1,0,0,0,0
EAP,1,2,0,2,2,6
EAR,1,2,0,2,2,6
EAS,1,2,0,2,2,6
ECA,1,1,2,3,3,2
ECS,1,1,2,3,3,2
ECU,1,1,0,0,0,0
EGY,1,1,0,0,0,0
EMU,1,3,2,3,3,2
ERI,2,0,3,4,4,3
ESP,0,3,2,3,3,2
EST,0,3,2,3,3,2
ETH,2,0,3,4,4,3
EUU,1,1,2,3,3,2
FCS,1,1,0,2,6,5
FIN,0,3,4,1,1,4
FJI,2,0,3,4,4,3
FRA,0,3,2,3,3,2
FRO,1,1,2,3,6,2
FSM,2,0,3,4,4,3
GAB,2,0,3,4,4,3
GBR,0,3,2,3,3,2
GEO,1,1,2,3,3,5
GHA,2,0,3,4,4,3
GIB,1,1,0,2,6,5
GIN,2,0,3,4,4,3
GLP,1,1,0,0,0,0
GMB,2,0,3,4,4,3
GNB,2,0,3,4,4,7
GNQ,1,1,0,0,0,0
GRC,1,1,2,3,3,2
GRD,1,1,2,3,3,5
GRL,1,1,2,3,6,5
GTM,1,1,0,2,6,5
GUF,1,1,0,2,6,5
GUM,2,0,3,4,4,3
GUY,1,1,0,2,6,5
HIC,1,3,2,3,3,2
HKG,0,3,2,3,3,2
HND,1,1,0,0,0,0
HPC,1,1,0,2,6,5
HRV,1,1,2,3,3,2
HTI,1,1,0,2,6,5
HUN,1,1,2,3,3,2
IBD,1,2,0,2,2,6
IBT,1,2,0,2,2,6
IDA,1,1,0,2,6,5
IDB,1,1,0,2,6,5
IDN,2,0,3,4,4,3
IDX,1,1,0,2,6,5
IMN,0,3,2,3,6,2
IND,2,0,3,4,4,3
IRL,0,3,4,1,1,4
IRN,2,0,3,0,0,0
IRQ,1,1,0,2,6,5
ISL,0,3,4,1,1,4
ISR,0,3,2,3,3,2
ITA,0,3,2,3,3,2
JAM,1,1,0,2,6,5
JOR,1,1,0,0,0,0
JPN,1,1,2,3,6,5
KAZ,2,0,2,3,3,3
KEN,2,0,3,4,4,3
KGZ,2,0,3,4,4,3
KHM,1,1,0,0,0,0
KIR,1,1,0,2,6,5
KNA,1,1,2,3,6,5
KOR,1,1,2,3,3,2
KWT,1,1,2,3,6,5
LAC,1,1,0,2,6,5
LAO,2,0,3,4,4,3
LBN,1,1,0,2,6,5
LBR,2,0,3,4,4,3
LBY,1,1,0,0,0,0
LCA,1,1,0,0,6,5
LCN,1,1,0,2,6,5
LDC,1,1,0,2,6,5
LIC,1,1,0,2,6,5
LIE,0,3,1,5,5,1
LKA,2,0,3,4,6,5
LMC,1,2,0,2,2,6
LMY,1,2,0,2,2,6
LSO,2,1,0,2,6,5
LTE,1,2,0,2,2,6
LTU,1,3,2,3,3,2
LUX,0,3,4,1,1,4
LVA,1,3,2,3,3,2
MAC,0,3,2,3,3,2
MAF,1,1,0,2,6,5
MAR,1,1,0,0,0,0
MCO,0,3,4,1,1,4
MDA,2,0,3,4,4,3
MDG,1,1,0,2,6,5
MDV,1,1,0,2,6,5
MEA,1,1,0,2,6,5
MEX,1,1,0,0,0,0
MHL,1,1,0,2,6,5
MIC,1,2,0,2,2,6
MKD,1,1,0,2,6,5
MLI,2,0,3,4,4,3
MLT,1,1,0,0,0,0
MMR,2,1,0,2,6,5
MNA,1,1,0,2,6,5
MNE,0,3,2,3,3,2
MNG,1,1,0,0,0,0
MNP,2,0,3,4,4,3
MOZ,2,0,3,4,4,3
MRT,1,1,0,0,0,0
MTQ,1,1,0,0,0,0
MUS,2,0,3,2,6,5
MWI,2,0,3,4,4,3
MYS,2,0,3,4,4,3
MYT,2,0,3,0,0,0
NAC,0,3,2,3,3,2
NAM,2,0,3,4,4,3
NCL,2,0,3,4,4,3
NER,2,0,3,4,4,3
NGA,2,0,3,4,4,3
NIC,1,1,0,2,6,5
NLD,0,3,4,1,1,4
NOR,0,3,4,1,1,4
NPL,2,0,3,0,0,0
NRU,2,0,3,4,4,3
NZL,0,3,2,3,3,2
OED,1,1,2,3,3,2
OMN,1,1,0,2,6,5
OSS,1,1,0,2,6,5
PAK,2,0,3,4,4,3
PAN,1,1,0,0,0,0
PER,1,1,0,0,0,0
PHL,2,0,3,4,4,3
PLW,1,3,2,3,3,2
PNG,2,0,3,2,6,5
POL,1,1,2,0,0,0
PRE,1,1,0,2,6,5
PRI,0,3,2,3,3,2
PRK,1,1,0,2,6,5
PRT,1,1,2,0,0,0
PRY,2,1,0,0,0,0
PSE,1,1,2,3,3,5
PSS,1,1,0,2,6,5
PST,1,3,2,3,3,2
PYF,2,0,3,4,4,3
QAT,0,3,4,1,1,4
REU,1,1,0,0,0,0
ROU,1,1,0,0,0,0
RUS,1,3,2,3,3,2
RWA,1,1,0,2,6,5
SAS,1,1,0,2,6,5
SAU,1,1,2,3,0,2
SDN,2,0,3,4,4,3
SEN,2,0,3,4,4,3
SGP,0,3,4,1,1,4
SLB,2,0,3,4,4,3
SLE,2,0,3,4,4,3
SLV,1,1,0,0,0,0
SMR,0,3,2,3,3,2
SOM,1,1,0,0,0,0
SRB,0,3,2,3,3,2
SSA,1,1,0,2,6,5
SSD,1,1,0,2,6,5
SSF,1,1,0,2,6,5
SST,1,1,0,2,6,5
STP,1,1,0,0,0,0
SUR,2,1,3,2,6,5
SVK,1,1,2,3,3,2
SVN,0,3,2,3,3,2
SWE,0,3,4,1,1,4
SWZ,1,1,0,2,6,5
SXM,0,3,2,3,3,2
SYC,0,3,4,1,1,4
SYR,1,1,0,2,6,5
TCA,1,1,0,2,6,5
TCD,2,0,3,4,4,3
TEA,1,2,0,2,2,6
TEC,1,1,2,3,3,2
TGO,2,0,3,4,4,3
THA,1,1,0,0,0,0
TJK,2,0,3,0,0,0
TKM,1,1,0,0,0,0
TLA,1,1,0,2,6,5
TLS,1,1,0,2,6,5
TMN,1,1,0,2,6,5
TON,2,0,3,2,6,5
TSA,1,1,0,2,6,5
TSS,1,1,0,2,6,5
TTO,1,1,0,2,6,5
TUN,1,1,0,0,0,0
TUR,1,1,0,0,0,0
TUV,1,1,0,0,0,0
TWN,2,0,3,4,6,5
TZA,2,0,3,4,4,3
UGA,2,0,3,4,4,3
UKR,1,1,2,3,3,2
UMC,1,2,0,2,2,6
URY,1,3,2,3,3,2
USA,0,3,2,3,3,2
UZB,1,1,0,0,0,0
VAT,1,1,0,2,6,5
VCT,1,1,0,2,6,5
VEN,1,1,0,0,0,0
VGB,0,3,4,1,1,4
VIR,1,1,0,2,6,5
VNM,1,1,0,2,6,5
VUT,2,0,3,4,4,3
WLD,1,2,0,2,2,6
WSM,2,1,0,2,6,5
XKX,1,1,0,2,6,5
YEM,1,1,0,0,0,0
ZAF,2,0,3,4,4,3
ZMB,2,0,3,4,4,3
ZWE,2,0,3,4,4,3
